"","time","data"
"367",2009-07-15,22.56
"368",2009-08-15,135.8
"369",2009-09-15,48.7599999999999
"370",2009-10-15,12.02
"371",2009-11-15,0
"372",2009-12-15,0
"373",2010-01-15,0
"374",2010-02-15,0
"375",2010-03-15,0
"376",2010-04-15,6.21999999999997
"377",2010-05-15,65.85
"378",2010-06-15,162.08
"379",2010-07-15,68.79
"380",2010-08-15,17.17
"381",2010-09-15,33.31
"382",2010-10-15,16.85
"383",2010-11-15,23.16
"384",2010-12-15,0
"385",2011-01-15,0
"386",2011-02-15,8.25999999999999
"387",2011-03-15,7.19999999999999
"388",2011-04-15,9
"389",2011-05-15,6.88
"390",2011-06-15,149.11
"391",2011-07-15,69.09
"392",2011-08-15,62.29
"393",2011-09-15,0
"394",2011-10-15,12.2
"395",2011-11-15,0
"396",2011-12-15,0
"397",2012-01-15,0
"398",2012-02-15,0
"399",2012-03-15,0
"400",2012-04-15,37.66
"401",2012-05-15,145.62
"402",2012-06-15,205.49
"403",2012-07-15,2.71999999999997
"404",2012-08-15,91.28
"405",2012-09-15,0
"406",2012-10-15,56.3199999999999
"407",2012-11-15,3.76999999999998
"408",2012-12-15,21.22
"409",2013-01-15,0
"410",2013-02-15,1.61000000000001
"411",2013-03-15,5.55000000000001
"412",2013-04-15,0
"413",2013-05-15,158.58
"414",2013-06-15,44.64
"415",2013-07-15,22.49
"416",2013-08-15,29.36
"417",2013-09-15,4.13999999999999
"418",2013-10-15,0
"419",2013-11-15,0
"420",2013-12-15,0
"421",2014-01-15,0
"422",2014-02-15,3.32999999999998
"423",2014-03-15,2.21999999999997
"424",2014-04-15,0
"425",2014-05-15,30.58
"426",2014-06-15,135.94
"427",2014-07-15,58.71
"428",2014-08-15,82.37
"429",2014-09-15,63.0699999999999
"430",2014-10-15,0
"431",2014-11-15,7.70999999999998
"432",2014-12-15,2.87
"433",2015-01-15,0
"434",2015-02-15,14.69
"435",2015-03-15,3.29000000000002
"436",2015-04-15,0
"437",2015-05-15,0
"438",2015-06-15,0
"439",2015-07-15,92.18
"440",2015-08-15,206.46
"441",2015-09-15,75.39
"442",2015-10-15,86.97
"443",2015-11-15,13.99
"444",2015-12-15,0
"445",2016-01-15,5.20999999999998
"446",2016-02-15,0
"447",2016-03-15,0
"448",2016-04-15,221.7
"449",2016-05-15,58.5099999999999
"450",2016-06-15,81.45
"451",2016-07-15,161.07
"452",2016-08-15,0
"453",2016-09-15,0
"454",2016-10-15,75.99
"455",2016-11-15,0
"456",2016-12-15,23.7499999999999
"457",2017-01-15,0
"458",2017-02-15,11.24
"459",2017-03-15,0
"460",2017-04-15,8.46999999999997
"461",2017-05-15,168.42
"462",2017-06-15,163.07
"463",2017-07-15,44.91
"464",2017-08-15,71.7
"465",2017-09-15,22.91
"466",2017-10-15,37.16
"467",2017-11-15,7.63999999999999
"468",2017-12-15,0
"469",2018-01-15,0
"470",2018-02-15,0
"471",2018-03-15,0
"472",2018-04-15,0
"473",2018-05-15,49.44
"474",2018-06-15,98.98
"475",2018-07-15,143.67
"476",2018-08-15,38.37
"477",2018-09-15,50.31
"478",2018-10-15,4.82999999999998
"479",2018-11-15,2.63
"480",2018-12-15,7.83999999999992
"481",2019-01-15,0
"482",2019-02-15,0
"483",2019-03-15,6.29000000000002
"484",2019-04-15,13.71
"485",2019-05-15,40.08
"486",2019-06-15,90.2699999999999
"487",2019-07-15,19.3799999999999
"488",2019-08-15,0
"489",2019-09-15,5.68000000000001
"490",2019-10-15,7
"491",2019-11-15,0
"492",2019-12-15,2.58999999999997
"493",2020-01-15,0
"494",2020-02-15,0
"495",2020-03-15,0
"496",2020-04-15,10.69
